City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,necochea,-38.5473,-58.7368,15.75,38,75,9.58,AR,1699774404
339,kuching,1.55,110.3333,32.23,79,40,3.6,MY,1699774200
340,christchurch,-43.5333,172.6333,19.11,42,100,2.57,NZ,1699774153
341,sangmelima,2.9333,11.9833,23.2,86,100,1.08,CM,1699774405
342,saldanha,-33.0117,17.9442,20.03,64,0,6.73,ZA,1699774405
343,bubaque,11.2833,-15.8333,28.23,65,97,2.87,GW,1699774405
344,bredasdorp,-34.5322,20.0403,19.07,49,49,4.55,ZA,1699774406
345,cafayate,-26.073,-65.9761,22.47,32,0,2.14,AR,1699774406
346,sayat,38.7839,63.8803,12.93,20,0,3.31,TM,1699774406
347,umm kaddadah,13.6017,26.6876,32.27,21,4,3.94,SD,1699774406
348,daru,-9.0763,143.2092,26.06,72,12,4.85,PG,1699774407
349,puerto maldonado,-12.6,-69.1833,25.74,70,46,1.32,PE,1699774407
350,port douglas,-16.4833,145.4667,24.98,72,35,6.64,AU,1699774407
351,san juan nepomuceno,9.9516,-75.082,24.93,91,100,1.41,CO,1699774408
352,bonthe,7.5264,-12.505,25.67,87,24,1.22,SL,1699774408
353,myitkyina,25.3833,97.4,30.44,34,4,0.51,MM,1699774409
354,dubai,25.2582,55.3047,31.16,19,0,3.6,AE,1699774206
355,chern',53.4523,36.9145,5.3,89,100,9.89,RU,1699774409
356,ola,59.5833,151.2833,-12.82,71,100,3.77,RU,1699774409
357,bel ombre,-4.6167,55.4167,29.91,74,40,1.54,SC,1699774410
358,kamakwie,9.5,-12.2333,24.39,92,100,0.48,SL,1699774410
359,torghay,49.6339,63.4981,7.49,68,84,6.52,KZ,1699774410
360,thunder bay,48.4001,-89.3168,2.99,87,100,3.09,CA,1699774410
